file,segment,width,hits_MDM,hits_SYS,hits_COMM_ENERGY,hits_APPS,hits_JOURNAL,hits_EXT,hits_VENDORS,hits_VULN,hits_FLAME,hits_TAMPER_JP,windows
JetsamEvent-2025-06-01-130516.ips,raw,35555,1,7,4,0,4,2,0,0,2,0,7
JetsamEvent-2025-06-01-130516.ips,head,38888,0,0,0,0,2,0,0,0,0,0,3
JetsamEvent-2025-06-01-130516.ips,mid,38888,0,5,0,0,3,0,0,0,1,0,4
JetsamEvent-2025-06-01-130516.ips,tail,38888,1,4,4,0,1,2,0,0,2,0,3
JetsamEvent-2025-06-01-130516.ips,raw,38888,1,7,4,0,4,2,0,0,2,0,6
JetsamEvent-2025-06-01-130516.ips,head,42222,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,42222,0,5,0,0,3,0,0,0,1,0,4
JetsamEvent-2025-06-01-130516.ips,tail,42222,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,42222,1,7,4,0,4,2,0,0,2,0,6
JetsamEvent-2025-06-01-130516.ips,head,45555,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,45555,0,5,0,0,3,0,0,0,1,0,3
JetsamEvent-2025-06-01-130516.ips,tail,45555,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,45555,1,7,4,0,4,2,0,0,2,0,6
JetsamEvent-2025-06-01-130516.ips,head,48888,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,48888,0,5,0,0,3,0,0,0,1,0,3
JetsamEvent-2025-06-01-130516.ips,tail,48888,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,48888,1,7,4,0,4,2,0,0,2,0,5
JetsamEvent-2025-06-01-130516.ips,head,52222,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,52222,0,5,0,0,3,0,0,0,1,0,3
JetsamEvent-2025-06-01-130516.ips,tail,52222,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,52222,1,7,4,0,4,2,0,0,2,0,5
JetsamEvent-2025-06-01-130516.ips,head,55555,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,55555,0,5,0,0,3,0,0,0,1,0,3
JetsamEvent-2025-06-01-130516.ips,tail,55555,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,55555,1,7,4,0,4,2,0,0,2,0,5
JetsamEvent-2025-06-01-130516.ips,head,58888,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,58888,0,5,0,0,3,0,0,0,1,0,3
JetsamEvent-2025-06-01-130516.ips,tail,58888,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,58888,1,7,4,0,4,2,0,0,2,0,4
JetsamEvent-2025-06-01-130516.ips,head,62222,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,62222,0,5,0,0,3,0,0,0,1,0,3
JetsamEvent-2025-06-01-130516.ips,tail,62222,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,62222,1,7,4,0,4,2,0,0,2,0,4
JetsamEvent-2025-06-01-130516.ips,head,65555,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,65555,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,65555,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,65555,1,7,4,0,4,2,0,0,2,0,4
JetsamEvent-2025-06-01-130516.ips,head,68888,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,68888,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,68888,1,4,4,0,1,2,0,0,2,0,2
JetsamEvent-2025-06-01-130516.ips,raw,68888,1,7,4,0,4,2,0,0,2,0,4
JetsamEvent-2025-06-01-130516.ips,head,72222,0,0,0,0,2,0,0,0,0,0,2
JetsamEvent-2025-06-01-130516.ips,mid,72222,0,5,0,0,3,0,0,0,1,0,2
JetsamEvent-2025-06-01-130516.ips,tail,72222,1,4,4,0,1,2,0,0,2,0,2
